Country,Region,Happiness Rank,Happiness Score,Standard Error,Upper Confidence Interval,Lower Confidence Interval,Happiness Score in Dystopia,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia + residual,Country_Chinese,continent
Kosovo,Central and Eastern Europe,35,6.325200081,0.052216277,6.427544117,6.222856045,1.972316742,0.840481341,1.183962822,0.672709167,0.557280421,0.325286865,0.008559024,2.736902714,科索沃,Europe
Panama,Latin America and Caribbean,36,6.304800034,0.059724931,6.421860695,6.187739372,1.972316742,1.097667813,1.376149297,0.878546536,0.57984978,0.097207308,0.054230526,2.221176147,巴拿马,North America
Slovakia,Central and Eastern Europe,37,6.280600071,0.03889757,6.35683918,6.204360962,1.972316742,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,0.011291441,2.256422043,斯洛伐克,Europe
Uzbekistan,Commonwealth of Independent States,38,6.257599831,0.05422755,6.36388588,6.151313782,1.972316742,0.696652949,1.434020042,0.716703713,0.693270326,0.363311023,0.280260265,2.073346615,乌兹别克斯坦,Asia
Chile,Latin America and Caribbean,39,6.228499889,0.045723889,6.318118572,6.138881207,1.972316742,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935,2.283012867,智利,South America
Bahrain,Middle East and North Africa,40,6.227300167,0.081882261,6.387789249,6.066811085,1.972316742,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257,1.751917362,巴林,Asia
Lithuania,Central and Eastern Europe,41,6.215499878,0.044193108,6.302118301,6.128881454,1.972316742,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274,2.238146067,立陶宛,Europe
Trinidad and Tobago,Latin America and Caribbean,42,6.191899776,0.114448458,6.416218758,5.967580795,1.972316742,1.167641521,1.407326221,0.658828557,0.55293113,0.199358255,0.015078396,2.190695763,特立尼达和多巴哥,North America
Poland,Central and Eastern Europe,43,6.186299801,0.035500165,6.255880356,6.116719246,1.972316742,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251,2.056797981,波兰,Europe
Colombia,Latin America and Caribbean,44,6.163400173,0.056480873,6.274102688,6.052697659,1.972316742,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837,2.421656609,哥伦比亚,South America
Cyprus,Western Europe,45,6.15899992,0.050605938,6.258187771,6.059812069,1.972316742,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,0.051207144,2.032334805,塞浦路斯,Asia
Nicaragua,Latin America and Caribbean,46,6.13710022,0.063886963,6.262318611,6.011881828,1.972316742,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574,2.496081114,尼加拉瓜,North America
Romania,Central and Eastern Europe,47,6.123700142,0.047432564,6.216668129,6.030732155,1.972316742,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569,2.412749767,罗马尼亚,Europe
Kuwait,Middle East and North Africa,48,6.102099895,0.053297732,6.206563473,5.997636318,1.972316742,1.424833655,1.244779825,0.776468933,0.570261419,0.132751092,0.112814933,1.840167999,科威特,Asia
Mauritius,Sub-Saharan Africa,49,6.101299763,0.057226494,6.213463783,5.989135742,1.972316742,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229,2.006720543,毛里求斯,Africa
Kazakhstan,Commonwealth of Independent States,50,6.057899952,0.043229785,6.1426301,5.973169804,1.972316742,1.122594237,1.453267694,0.698788941,0.497432142,0.153713793,0.110463686,2.021602631,哈萨克斯坦,Asia
Estonia,Central and Eastern Europe,51,6.021800041,0.035985194,6.092330933,5.95126915,1.972316742,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819,1.629928112,爱沙尼亚,Europe
Philippines,Southeast Asia,52,6.006000042,0.049858402,6.103722572,5.908277512,1.972316742,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727,2.501741886,菲律宾,Asia
Hungary,Central and Eastern Europe,53,6.000400066,0.039473221,6.077767372,5.923032761,1.972316742,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173,2.121845722,匈牙利,Europe
Thailand,Southeast Asia,54,5.998799801,0.042596295,6.082288742,5.91531086,1.972316742,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862,1.832384109,泰国,Asia
Argentina,Latin America and Caribbean,55,5.974699974,0.053441759,6.079445839,5.869954109,1.972316742,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,2.072540998,阿根廷,South America
Honduras,Latin America and Caribbean,56,5.953199863,0.065731592,6.082033634,5.824366093,1.972316742,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102,2.464295387,洪都拉斯,North America
Latvia,Central and Eastern Europe,57,5.949999809,0.034838136,6.018282413,5.881717205,1.972316742,1.14139545,1.414398789,0.777902424,0.329198807,0.075407945,0.090391524,2.121283054,拉脱维亚,Europe
Ecuador,Latin America and Caribbean,58,5.925199986,0.052880634,6.028846264,5.821553707,1.972316742,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383,2.254933834,厄瓜多尔,South America
Portugal,Western Europe,59,5.910900116,0.053158198,6.015089989,5.806710243,1.972316742,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466,1.752558708,葡萄牙,Europe
Jamaica,Latin America and Caribbean,60,5.889800072,0.120590433,6.126157284,5.65344286,1.972316742,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785,2.214436531,牙买加,North America
South Korea,East Asia,61,5.872399807,0.044085015,5.958806515,5.785993099,1.972316742,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282,1.946757078,韩国,Asia
Japan,East Asia,62,5.870800018,0.041391667,5.951927662,5.789672375,1.972316742,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638,1.486200333,日本,Asia
Peru,Latin America and Caribbean,63,5.796800137,0.061311204,5.916970253,5.67663002,1.972316742,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266,2.213499546,秘鲁,South America
Serbia,Central and Eastern Europe,64,5.77820015,0.050712325,5.877596378,5.678803921,1.972316742,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147,2.029040098,塞尔维亚,Europe
Bolivia,Latin America and Caribbean,65,5.747499943,0.050645422,5.846765041,5.648234844,1.972316742,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637,2.425928593,玻利维亚,South America
Pakistan,South Asia,66,5.69329977,0.048216224,5.78780365,5.598795891,1.972316742,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,0.122592121,2.976876736,巴基斯坦,Asia
Paraguay,Latin America and Caribbean,67,5.692100048,0.051957864,5.793937683,5.590262413,1.972316742,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379,1.83412528,巴拉圭,South America
Dominican Republic,Latin America and Caribbean,68,5.689199924,0.069831297,5.826069355,5.552330494,1.972316742,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682,1.844246864,多米尼加,North America
Bosnia and Herzegovina,Central and Eastern Europe,69,5.674099922,0.046385963,5.765016556,5.583183289,1.972316742,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487,2.16724205,波斯尼亚和黑塞哥维那,Europe
Moldova,Commonwealth of Independent States,70,5.607500076,0.042275578,5.690360069,5.524640083,1.972316742,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184,0.014378744,2.370968342,摩尔多瓦,Europe
Tajikistan,Commonwealth of Independent States,71,5.555699825,0.032321576,5.619050026,5.492349625,1.972316742,0.474874616,1.218377709,0.680594802,0.521141171,0.182417125,0.221779913,2.25650835,塔吉克斯坦,Asia
Montenegro,Central and Eastern Europe,72,5.54610014,0.04898582,5.642112255,5.450088024,1.972316742,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.098435111,1.880565882,黑山,Europe
Russia,Commonwealth of Independent States,73,5.546000004,0.039609671,5.623634815,5.468365192,1.972316742,1.126999617,1.378644109,0.68044591,0.399499595,0.099041916,0.045699362,1.815716743,俄罗斯,Europe
Kyrgyzstan,Commonwealth of Independent States,74,5.541500092,0.043677468,5.627108097,5.455892086,1.972316742,0.513180971,1.341036677,0.680645883,0.614617765,0.30137074,0.030466691,2.060206652,吉尔吉斯斯坦,Asia
Belarus,Commonwealth of Independent States,75,5.539899826,0.037060037,5.612537384,5.467262268,1.972316742,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435,1.8069911,白俄罗斯,Europe
North Cyprus,Western Europe,76,5.53550005,0.051037241,5.635532856,5.435467243,1.972316742,1.21279943,1.183089137,1.026124597,0.477885723,0.199160054,0.199802905,1.23668766,北塞浦路斯,Europe
Greece,Western Europe,77,5.514999866,0.046931833,5.606986046,5.423013687,1.972316742,1.128070116,1.168973565,0.979431748,0.173516348,0.0,0.048844352,2.016179085,希腊,Europe
Hong Kong China,East Asia,78,5.510399818,0.046019029,5.600596905,5.420202732,1.972316742,1.376746058,1.243584275,1.136630654,0.459356517,0.288280904,0.332485437,0.673293114,中国香港,Asia
Croatia,Central and Eastern Europe,79,5.504700184,0.037783645,5.578756332,5.430644035,1.972316742,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006,1.676029205,克罗地亚,Europe
Libya,Middle East and North Africa,80,5.488800049,0.060677204,5.607727528,5.36987257,1.972316742,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,0.172258079,1.888563156,利比亚,Africa
Mongolia,East Asia,81,5.456200123,0.040313236,5.535213947,5.377186298,1.972316742,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126,1.810527563,蒙古,Asia
Malaysia,Southeast Asia,82,5.384300232,0.048802696,5.479953289,5.288647175,1.972316742,1.168421626,1.17400229,0.788511872,0.596941531,0.274886161,0.062163133,1.319420815,马来西亚,Asia
Vietnam,Southeast Asia,83,5.353499889,0.033800762,5.41974926,5.287250519,1.972316742,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459,1.685977936,越南,Asia
Indonesia,Southeast Asia,84,5.285600185,0.047692381,5.379077435,5.192122936,1.972316742,0.891720712,1.154800892,0.610437036,0.568161428,0.542646527,0.038278613,1.479573488,印度尼西亚,Asia
Ivory Coast,Sub-Saharan Africa,85,5.233300209,0.073095515,5.376567364,5.090033054,1.972316742,0.537094414,0.799727261,0.154942513,0.397122532,0.169915587,0.093495794,3.081022501,科特迪瓦,Africa
Benin,Sub-Saharan Africa,86,5.21600008,0.077759244,5.368408203,5.063591957,1.972316742,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874,3.440809727,贝宁,Africa
Maldives,South Asia,87,5.197599888,0.071985401,5.338691235,5.056508541,1.972316742,0.937864304,1.402287602,0.914439559,0.548203647,0.224198252,0.071906492,1.098674774,马尔代夫,Asia
Congo (Brazzaville),Sub-Saharan Africa,88,5.194399834,0.077028967,5.345376492,5.043423176,1.972316742,0.633616745,0.757636011,0.458101124,0.386514395,0.117216013,0.118670784,2.722619534,刚果(布),Africa
Azerbaijan,Commonwealth of Independent States,89,5.164800167,0.034197241,5.231826782,5.097773552,1.972316742,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.247307181,1.507632971,阿塞拜疆,Asia
Macedonia,Central and Eastern Europe,90,5.159800053,0.046761535,5.251452446,5.068147659,1.972316742,0.935371995,1.183173537,0.802994132,0.410224587,0.18586354,0.024595059,1.617594957,北马其顿,Europe
Ghana,Sub-Saharan Africa,91,5.147999763,0.058634609,5.262923717,5.033075809,1.972316742,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,0.056570381,2.378437281,加纳,Africa
Nepal,South Asia,92,5.137199879,0.057692084,5.250276566,5.024123192,1.972316742,0.444050372,1.100789309,0.66887939,0.480608255,0.300971806,0.127502963,2.014386892,尼泊尔,Asia
Turkey,Middle East and North Africa,93,5.131800175,0.039838459,5.20988369,5.05371666,1.972316742,1.127169251,1.197159171,0.781335294,0.25440076,0.085885569,0.120983243,1.564816713,土耳其,Asia
China,East Asia,94,5.123899937,0.025901664,5.174667358,5.073132515,1.972316742,0.990533412,1.132080674,0.867248535,0.601605117,0.079021044,0.117255554,1.336181879,中国,Asia
Turkmenistan,Commonwealth of Independent States,95,5.119100094,0.029379817,5.17668438,5.061515808,1.972316742,1.008963585,1.510476947,0.612448037,0.515236676,0.323129326,0.03350389,1.115337372,土库曼斯坦,Asia
Bulgaria,Central and Eastern Europe,96,5.101500034,0.04422117,5.188173294,5.014826775,1.972316742,1.046554685,1.460578918,0.777776897,0.417820066,0.103833713,0.0,1.294961452,保加利亚,Europe
Morocco,Middle East and North Africa,97,5.094799995,0.05565045,5.203875065,4.985724926,1.972316742,0.75862211,0.645208478,0.745096922,0.450054139,0.040032551,0.077385604,2.378402472,摩洛哥,Africa
Cameroon,Sub-Saharan Africa,98,5.084899902,0.067296073,5.216800213,4.952999592,1.972316742,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422,2.719370842,喀麦隆,Africa
Venezuela,Latin America and Caribbean,99,5.053199768,0.06428051,5.179189682,4.927209854,1.972316742,0.770238638,1.348546863,0.76702553,0.271717221,0.087179154,0.063624777,1.74484086,委内瑞拉,South America
Algeria,Middle East and North Africa,100,5.005099773,0.044236008,5.09180212,4.918397427,1.972316742,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654,1.840811729,阿尔及利亚,Africa
Senegal,Sub-Saharan Africa,101,4.980800152,0.05276908,5.084227562,4.877372742,1.972316742,0.504061818,0.95459342,0.518391907,0.352400899,0.164397135,0.081865937,2.405123949,塞内加尔,Africa
Guinea,Sub-Saharan Africa,102,4.949299812,0.073042229,5.09246254,4.806137085,1.972316742,0.390007734,0.75136596,0.333655238,0.371878058,0.249490842,0.112204559,2.740729809,几内亚,Africa
Niger,Sub-Saharan Africa,103,4.909599781,0.077208281,5.060927868,4.758271694,1.972316742,0.108330332,0.703800142,0.298816353,0.435311615,0.208176896,0.137554765,3.017630577,尼日尔,Africa
Laos,Southeast Asia,104,4.888599873,0.040268615,4.967526436,4.809673309,1.972316742,0.714693844,0.987391889,0.486378282,0.612027287,0.27266711,0.194273964,1.621152639,老挝,Asia
Albania,Central and Eastern Europe,105,4.882699966,0.056115732,4.992686749,4.772713184,1.972316742,0.906653047,0.830483913,0.846329629,0.461945891,0.171027765,0.025361285,1.640897036,阿尔巴尼亚,Europe
Cambodia,Southeast Asia,106,4.848400116,0.058006871,4.962093353,4.734706879,1.972316742,0.544634938,1.071426034,0.587904334,0.674940348,0.233342081,0.072837502,1.663300037,柬埔寨,Asia
Bangladesh,South Asia,107,4.832799911,0.040124193,4.911443233,4.75415659,1.972316742,0.556156278,0.868800581,0.694940507,0.604130566,0.176745117,0.176735908,1.755261898,孟加拉国,Asia
Gabon,Sub-Saharan Africa,108,4.829299927,0.060268242,4.947425842,4.711174011,1.972316742,0.988044381,1.10639751,0.522574842,0.369459897,0.052013602,0.055804539,1.735027552,加蓬,Africa
South Africa,Sub-Saharan Africa,109,4.814099789,0.060023591,4.931746006,4.696453571,1.972316742,0.902140439,1.259086251,0.407034069,0.43478182,0.126406848,0.05950214,1.625117302,南非,Africa
Iraq,Middle East and North Africa,110,4.784800053,0.077791877,4.937272072,4.632328033,1.972316742,0.982018709,1.011466622,0.529350698,0.283588052,0.153002068,0.073164992,1.752173662,伊拉克,Asia
Lebanon,Middle East and North Africa,111,4.771500111,0.043753985,4.857257843,4.685742378,1.972316742,0.889232516,1.19249332,0.788671136,0.18551667,0.158524141,0.021518147,1.53554225,黎巴嫩,Asia
Burkina Faso,Sub-Saharan Africa,112,4.768700123,0.062067267,4.890351772,4.647048473,1.972316742,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055,2.588826418,布基纳法索,Africa
Gambia,Sub-Saharan Africa,113,4.750599861,0.067163654,4.882240772,4.61895895,1.972316742,0.256990552,0.882678688,0.353247881,0.403419524,0.425989687,0.158093795,2.270216465,冈比亚,Africa
Mali,Sub-Saharan Africa,114,4.729300022,0.064362764,4.855451107,4.603148937,1.972316742,0.352462649,0.97314173,0.234981522,0.377534449,0.16966705,0.062146276,2.559335232,马里,Africa
Nigeria,Sub-Saharan Africa,115,4.724100113,0.05211626,4.826248169,4.621952057,1.972316742,0.645901859,0.986717939,0.167835936,0.435079455,0.221328124,0.047589935,2.219635487,尼日利亚,Africa
Armenia,Commonwealth of Independent States,116,4.676799774,0.058595356,4.791646481,4.561953068,1.972316742,0.808262408,1.034576893,0.77585727,0.378075808,0.107225738,0.104618184,1.468161583,亚美尼亚,Asia
Georgia,Commonwealth of Independent States,117,4.672599792,0.043417413,4.757698059,4.587501526,1.972316742,0.847198069,0.7311939,0.694657624,0.485494107,0.047609735,0.174088076,1.69239831,格鲁吉亚,Asia
Iran,Middle East and North Africa,118,4.672399998,0.055878021,4.78192091,4.562879086,1.972316742,1.029322505,0.886271179,0.749053836,0.301195472,0.27697894,0.142651513,1.286969423,伊朗,Asia
Jordan,Middle East and North Africa,119,4.633399963,0.058751218,4.748552322,4.518247604,1.972316742,0.785179198,1.140118599,0.777624726,0.424855083,0.091494769,0.151878625,1.262258053,约旦,Asia
Mozambique,Sub-Saharan Africa,120,4.623600006,0.079284087,4.778996944,4.468203068,1.972316742,0.178741366,0.955202878,0.324223638,0.56077534,0.220422104,0.163064316,2.221216202,莫桑比克,Africa
Kenya,Sub-Saharan Africa,121,4.583000183,0.067804985,4.715898037,4.450102329,1.972316742,0.476413399,0.905077755,0.536312759,0.519180536,0.393902093,0.067201078,1.684904575,肯尼亚,Africa
Namibia,Sub-Saharan Africa,122,4.571100235,0.060983475,4.690628052,4.451572418,1.972316742,0.84008199,1.245738149,0.40687117,0.444598973,0.076454483,0.054320343,1.503033161,纳米比亚,Africa
Ukraine,Commonwealth of Independent States,123,4.56069994,0.049683895,4.658080578,4.463319302,1.972316742,0.780434608,1.321316481,0.698674381,0.319423705,0.178551316,0.00965116,1.252669334,乌克兰,Europe
Liberia,Sub-Saharan Africa,124,4.557899952,0.081956357,4.71853447,4.397265434,1.972316742,0.174103007,0.920733929,0.392284274,0.405943096,0.226967871,0.051139876,2.386757851,利比里亚,Africa
Palestinian Territories,Middle East and North Africa,125,4.552800179,0.055874817,4.662314892,4.443285465,1.972316742,0.587819219,1.194755554,0.613826573,0.29870075,0.091816261,0.071913652,1.693985701,巴勒斯坦,Asia
Uganda,Sub-Saharan Africa,126,4.43200016,0.068495452,4.566251278,4.297749043,1.972316742,0.312337428,1.052327394,0.378311664,0.401682556,0.264807373,0.063818842,1.958671093,乌干达,Africa
Chad,Sub-Saharan Africa,127,4.422699928,0.075231321,4.570153236,4.27524662,1.972316742,0.302287489,0.739118278,0.1087441,0.228601769,0.210805088,0.085755408,2.74742651,乍得,Africa
Tunisia,Middle East and North Africa,128,4.392199993,0.049670532,4.489554405,4.294845581,1.972316742,0.874742687,0.872167706,0.781156719,0.235860556,0.055881143,0.043899573,1.528496742,突尼斯,Africa
Mauritania,Sub-Saharan Africa,129,4.374599934,0.055093341,4.482583046,4.266616821,1.972316742,0.539684892,1.113323569,0.425184816,0.185714483,0.128899664,0.122257635,1.85955739,毛里塔尼亚,Africa
Sri Lanka,South Asia,130,4.327000141,0.053085525,4.431047916,4.222952366,1.972316742,0.897986948,1.19494009,0.792036712,0.528632462,0.252666146,0.049444564,0.611288548,斯里兰卡,Asia
Congo (Kinshasa),Sub-Saharan Africa,131,4.31099987,0.108998232,4.524636269,4.097363472,1.972316742,0.062487468,0.833055019,0.277212054,0.36462298,0.254324883,0.081466645,2.437864304,刚果(金),Africa
Swaziland,Sub-Saharan Africa,132,4.308100224,0.07145194,4.448145866,4.168054581,1.972316742,0.827539742,1.064835191,0.215585828,0.299935788,0.067264833,0.146765873,1.686207294,斯威士兰,Africa
Myanmar,Southeast Asia,133,4.308000088,0.042949215,4.392180443,4.223819733,1.972316742,0.67809093,1.098178267,0.495443076,0.597478867,0.569813728,0.187530354,0.681462526,缅甸,Asia
Comoros,Sub-Saharan Africa,134,4.288599968,0.084340192,4.453906536,4.1232934,1.972316742,0.415620774,0.723232806,0.437383324,0.181028232,0.258538276,0.100048535,2.17276907,科摩罗,Africa
Togo,Sub-Saharan Africa,135,4.187200069,0.062506773,4.309713364,4.064686775,1.972316742,0.268116266,0.547622859,0.342731178,0.303539038,0.200774252,0.114826456,2.409595251,多哥,Africa
Ethiopia,Sub-Saharan Africa,136,4.186200142,0.038915094,4.262473583,4.109926701,1.972316742,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035,1.628459215,埃塞俄比亚,Africa
Madagascar,Sub-Saharan Africa,137,4.165599823,0.057542104,4.278382301,4.052817345,1.972316742,0.244553208,0.823694348,0.500617027,0.192967549,0.191190064,0.076248638,2.136298418,马达加斯加,Africa
