Country,Region,Happiness Rank,Happiness Score,Standard Error,Upper Confidence Interval,Lower Confidence Interval,Ladder score in Dystopia,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia + residual,Country_Chinese,continent
Slovenia,Central and Eastern Europe,29,6.461,0.043,6.546,6.376,2.43,1.36,1.093,0.722,0.69,0.122,0.085,2.388,斯洛文尼亚,Europe
Guatemala,Latin America and Caribbean,30,6.435,0.073,6.577,6.292,2.43,0.845,0.79,0.519,0.638,0.163,0.105,3.375,危地马拉,North America
Uruguay,Latin America and Caribbean,31,6.431,0.046,6.521,6.341,2.43,1.164,1.042,0.649,0.625,0.128,0.223,2.6,乌拉圭,South America
Singapore,Southeast Asia,32,6.377,0.043,6.46,6.293,2.43,1.695,1.019,0.897,0.664,0.176,0.547,1.379,新加坡,Asia
Kosovo,Central and Eastern Europe,33,6.372,0.059,6.487,6.257,2.43,0.937,0.807,0.483,0.593,0.356,0.014,3.182,科索沃,Europe
Slovakia,Central and Eastern Europe,34,6.331,0.041,6.411,6.251,2.43,1.304,1.066,0.653,0.468,0.107,0.018,2.714,斯洛伐克,Europe
Brazil,Latin America and Caribbean,35,6.33,0.043,6.415,6.245,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,巴西,South America
Mexico,Latin America and Caribbean,36,6.317,0.053,6.42,6.213,2.43,1.126,0.83,0.634,0.585,0.092,0.089,2.961,墨西哥,North America
Jamaica,Latin America and Caribbean,37,6.309,0.156,6.615,6.004,2.43,0.891,0.932,0.599,0.618,0.099,0.035,3.135,牙买加,North America
Lithuania,Central and Eastern Europe,38,6.255,0.045,6.344,6.167,2.43,1.35,1.065,0.612,0.476,0.056,0.073,2.624,立陶宛,Europe
Cyprus,Western Europe,39,6.223,0.049,6.319,6.128,2.43,1.377,0.765,0.801,0.464,0.178,0.061,2.578,塞浦路斯,Asia
Estonia,Central and Eastern Europe,40,6.189,0.038,6.263,6.115,2.43,1.344,1.079,0.64,0.641,0.119,0.263,2.103,爱沙尼亚,Europe
Panama,Latin America and Caribbean,41,6.18,0.073,6.323,6.036,2.43,1.298,0.976,0.667,0.596,0.079,0.053,2.509,巴拿马,North America
Uzbekistan,Commonwealth of Independent States,42,6.179,0.068,6.312,6.045,2.43,0.769,1.027,0.528,0.716,0.391,0.271,2.477,乌兹别克斯坦,Asia
Chile,Latin America and Caribbean,43,6.172,0.046,6.262,6.081,2.43,1.2,0.946,0.678,0.438,0.159,0.07,2.682,智利,South America
Poland,Central and Eastern Europe,44,6.166,0.04,6.245,6.087,2.43,1.309,0.982,0.668,0.558,0.08,0.13,2.438,波兰,Europe
Kazakhstan,Commonwealth of Independent States,45,6.152,0.047,6.243,6.06,2.43,1.23,1.103,0.527,0.573,0.143,0.132,2.446,哈萨克斯坦,Asia
Romania,Central and Eastern Europe,46,6.14,0.057,6.253,6.027,2.43,1.275,0.832,0.595,0.564,0.045,0.001,2.83,罗马尼亚,Europe
Kuwait,Middle East and North Africa,47,6.106,0.066,6.235,5.977,2.43,1.461,0.857,0.58,0.591,0.12,0.13,2.368,科威特,Asia
Serbia,Central and Eastern Europe,48,6.078,0.053,6.181,5.974,2.43,1.101,0.924,0.634,0.482,0.189,0.066,2.682,塞尔维亚,Europe
El Salvador,Latin America and Caribbean,49,6.061,0.065,6.188,5.933,2.43,0.845,0.675,0.565,0.615,0.116,0.16,3.085,萨尔瓦多,North America
Mauritius,Sub-Saharan Africa,50,6.049,0.059,6.165,5.933,2.43,1.178,0.996,0.574,0.59,0.153,0.096,2.462,毛里求斯,Africa
Latvia,Central and Eastern Europe,51,6.032,0.036,6.103,5.961,2.43,1.285,1.047,0.587,0.405,0.082,0.089,2.536,拉脱维亚,Europe
Colombia,Latin America and Caribbean,52,6.012,0.061,6.132,5.892,2.43,1.021,0.866,0.615,0.554,0.1,0.063,2.794,哥伦比亚,South America
Hungary,Central and Eastern Europe,53,5.992,0.047,6.085,5.899,2.43,1.301,1.083,0.615,0.454,0.067,0.04,2.432,匈牙利,Europe
Thailand,Southeast Asia,54,5.985,0.047,6.077,5.893,2.43,1.107,0.957,0.596,0.611,0.375,0.028,2.309,泰国,Asia
Nicaragua,Latin America and Caribbean,55,5.972,0.083,6.134,5.81,2.43,0.693,0.904,0.604,0.553,0.201,0.176,2.841,尼加拉瓜,North America
Japan,East Asia,56,5.94,0.04,6.02,5.861,2.43,1.389,0.949,0.838,0.504,0.02,0.192,2.048,日本,Asia
Argentina,Latin America and Caribbean,57,5.929,0.056,6.04,5.819,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,阿根廷,South America
Portugal,Western Europe,57,5.929,0.055,6.037,5.821,2.43,1.323,0.939,0.76,0.621,0.029,0.033,2.225,葡萄牙,Europe
Honduras,Latin America and Caribbean,59,5.919,0.082,6.081,5.758,2.43,0.703,0.787,0.593,0.578,0.241,0.083,2.934,洪都拉斯,North America
Croatia,Central and Eastern Europe,60,5.882,0.048,5.975,5.788,2.43,1.251,1.039,0.703,0.453,0.111,0.0,2.325,克罗地亚,Europe
Philippines,Southeast Asia,61,5.88,0.052,5.982,5.778,2.43,0.853,0.828,0.426,0.651,0.125,0.126,2.872,菲律宾,Asia
South Korea,East Asia,62,5.845,0.042,5.928,5.763,2.43,1.403,0.758,0.801,0.353,0.134,0.135,2.262,韩国,Asia
Peru,Latin America and Caribbean,63,5.84,0.075,5.988,5.692,2.43,0.986,0.833,0.623,0.536,0.087,0.031,2.744,秘鲁,South America
Bosnia and Herzegovina,Central and Eastern Europe,64,5.813,0.05,5.911,5.715,2.43,1.032,0.919,0.618,0.395,0.261,0.005,2.583,波斯尼亚和黑塞哥维那,Europe
Moldova,Commonwealth of Independent States,65,5.766,0.046,5.856,5.677,2.43,0.985,0.888,0.542,0.536,0.137,0.013,2.665,摩尔多瓦,Europe
Ecuador,Latin America and Caribbean,66,5.764,0.057,5.875,5.653,2.43,0.935,0.806,0.64,0.56,0.107,0.062,2.653,厄瓜多尔,South America
Kyrgyzstan,Commonwealth of Independent States,67,5.744,0.046,5.834,5.653,2.43,0.665,0.971,0.501,0.673,0.266,0.02,2.648,吉尔吉斯斯坦,Asia
Greece,Western Europe,68,5.723,0.046,5.813,5.632,2.43,1.273,0.811,0.76,0.243,0.0,0.074,2.561,希腊,Europe
Bolivia,Latin America and Caribbean,69,5.716,0.053,5.819,5.613,2.43,0.842,0.782,0.486,0.6,0.138,0.064,2.805,玻利维亚,South America
Mongolia,East Asia,70,5.677,0.042,5.76,5.595,2.43,0.966,1.065,0.442,0.397,0.263,0.053,2.492,蒙古,Asia
Paraguay,Latin America and Caribbean,71,5.653,0.092,5.832,5.473,2.43,0.983,0.97,0.549,0.602,0.206,0.037,2.306,巴拉圭,South America
Montenegro,Central and Eastern Europe,72,5.581,0.054,5.686,5.475,2.43,1.155,0.891,0.637,0.397,0.166,0.081,2.254,黑山,Europe
Dominican Republic,Latin America and Caribbean,73,5.545,0.071,5.685,5.405,2.43,1.106,0.879,0.555,0.581,0.101,0.144,2.178,多米尼加,North America
North Cyprus,Western Europe,74,5.536,0.051,5.636,5.435,2.43,1.377,0.806,0.801,0.503,0.196,0.2,1.653,北塞浦路斯,Europe
Belarus,Commonwealth of Independent States,75,5.534,0.047,5.625,5.442,2.43,1.124,1.007,0.56,0.326,0.07,0.199,2.247,白俄罗斯,Europe
Russia,Commonwealth of Independent States,76,5.477,0.033,5.541,5.413,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148,俄罗斯,Europe
Hong Kong China,East Asia,77,5.477,0.049,5.573,5.38,2.43,1.525,0.841,0.893,0.408,0.232,0.342,1.236,中国香港,Asia
Tajikistan,Commonwealth of Independent States,78,5.466,0.034,5.532,5.4,2.43,0.508,0.895,0.498,0.548,0.152,0.247,2.619,塔吉克斯坦,Asia
Vietnam,Southeast Asia,79,5.411,0.039,5.488,5.334,2.43,0.817,0.873,0.616,0.679,0.124,0.091,2.211,越南,Asia
Libya,Middle East and North Africa,80,5.41,0.076,5.558,5.262,2.43,1.044,0.821,0.435,0.474,0.131,0.174,2.331,利比亚,Africa
Malaysia,Southeast Asia,81,5.384,0.049,5.48,5.289,2.43,1.259,0.797,0.587,0.624,0.27,0.064,1.784,马来西亚,Asia
Indonesia,Southeast Asia,82,5.345,0.056,5.454,5.235,2.43,0.954,0.786,0.433,0.598,0.541,0.046,1.987,印度尼西亚,Asia
Congo (Brazzaville),Sub-Saharan Africa,83,5.342,0.097,5.533,5.151,2.43,0.518,0.392,0.307,0.381,0.144,0.124,3.476,刚果(布),Africa
China,East Asia,84,5.339,0.029,5.397,5.281,2.43,1.061,0.785,0.665,0.636,0.093,0.117,1.982,中国,Asia
Ivory Coast,Sub-Saharan Africa,85,5.306,0.078,5.46,5.152,2.43,0.669,0.409,0.052,0.438,0.177,0.092,3.469,科特迪瓦,Africa
Armenia,Commonwealth of Independent States,86,5.283,0.058,5.397,5.168,2.43,0.996,0.758,0.585,0.54,0.079,0.198,2.127,亚美尼亚,Asia
Nepal,South Asia,87,5.269,0.07,5.406,5.132,2.43,0.519,0.702,0.496,0.488,0.287,0.135,2.642,尼泊尔,Asia
Bulgaria,Central and Eastern Europe,88,5.266,0.054,5.371,5.16,2.43,1.181,1.055,0.583,0.494,0.125,0.005,1.823,保加利亚,Europe
Maldives,South Asia,89,5.198,0.072,5.339,5.057,2.43,1.115,1.015,0.697,0.575,0.204,0.073,1.52,马尔代夫,Asia
Azerbaijan,Commonwealth of Independent States,90,5.171,0.04,5.25,5.091,2.43,1.025,0.841,0.541,0.526,0.043,0.276,1.919,阿塞拜疆,Asia
Cameroon,Sub-Saharan Africa,91,5.142,0.074,5.288,4.996,2.43,0.543,0.556,0.159,0.425,0.205,0.058,3.195,喀麦隆,Africa
Senegal,Sub-Saharan Africa,92,5.132,0.068,5.266,4.998,2.43,0.518,0.558,0.357,0.381,0.158,0.088,3.071,塞内加尔,Africa
Albania,Central and Eastern Europe,93,5.117,0.059,5.234,5.001,2.43,1.008,0.529,0.646,0.491,0.168,0.024,2.25,阿尔巴尼亚,Europe
North Macedonia,Central and Eastern Europe,94,5.101,0.051,5.202,5.001,2.43,1.068,0.772,0.535,0.45,0.212,0.022,2.042,北马其顿,Europe
Ghana,Sub-Saharan Africa,95,5.088,0.067,5.219,4.958,2.43,0.68,0.595,0.287,0.517,0.268,0.058,2.684,加纳,Africa
Niger,Sub-Saharan Africa,96,5.074,0.102,5.273,4.875,2.43,0.162,0.402,0.167,0.516,0.2,0.157,3.47,尼日尔,Africa
Turkmenistan,Commonwealth of Independent States,97,5.066,0.036,5.136,4.996,2.43,1.046,1.172,0.439,0.602,0.366,0.033,1.409,土库曼斯坦,Asia
Gambia,Sub-Saharan Africa,98,5.051,0.089,5.225,4.877,2.43,0.367,0.511,0.21,0.384,0.465,0.123,2.99,冈比亚,Africa
Benin,Sub-Saharan Africa,99,5.045,0.073,5.189,4.901,2.43,0.507,0.058,0.196,0.457,0.166,0.178,3.482,贝宁,Africa
Laos,Southeast Asia,100,5.03,0.045,5.119,4.941,2.43,0.808,0.598,0.33,0.643,0.268,0.179,2.204,老挝,Asia
Bangladesh,South Asia,101,5.025,0.046,5.115,4.934,2.43,0.635,0.52,0.514,0.603,0.161,0.164,2.427,孟加拉国,Asia
Guinea,Sub-Saharan Africa,102,4.984,0.09,5.16,4.808,2.43,0.42,0.399,0.206,0.384,0.25,0.111,3.216,几内亚,Africa
South Africa,Sub-Saharan Africa,103,4.956,0.06,5.074,4.839,2.43,0.967,0.895,0.265,0.447,0.144,0.051,2.187,南非,Africa
Turkey,Middle East and North Africa,104,4.948,0.046,5.038,4.857,2.43,1.26,0.809,0.59,0.236,0.097,0.104,1.852,土耳其,Asia
Pakistan,South Asia,105,4.934,0.068,5.066,4.802,2.43,0.637,0.423,0.322,0.418,0.252,0.097,2.784,巴基斯坦,Asia
Morocco,Middle East and North Africa,106,4.918,0.06,5.036,4.8,2.43,0.792,0.219,0.558,0.477,0.034,0.088,2.749,摩洛哥,Africa
Venezuela,Latin America and Caribbean,107,4.892,0.064,5.017,4.767,2.43,0.852,0.897,0.574,0.284,0.078,0.072,2.135,委内瑞拉,South America
Georgia,Commonwealth of Independent States,108,4.891,0.054,4.998,4.785,2.43,1.03,0.47,0.498,0.488,0.032,0.181,2.191,格鲁吉亚,Asia
Algeria,Middle East and North Africa,109,4.887,0.053,4.991,4.783,2.43,0.946,0.765,0.552,0.119,0.144,0.12,2.242,阿尔及利亚,Africa
Ukraine,Commonwealth of Independent States,110,4.875,0.052,4.977,4.773,2.43,0.979,0.958,0.517,0.417,0.181,0.01,1.813,乌克兰,Europe
Iraq,Middle East and North Africa,111,4.854,0.059,4.97,4.738,2.43,0.91,0.638,0.381,0.302,0.153,0.041,2.429,伊拉克,Asia
Gabon,Sub-Saharan Africa,112,4.852,0.075,4.998,4.706,2.43,1.037,0.707,0.362,0.424,0.058,0.064,2.201,加蓬,Africa
Burkina Faso,Sub-Saharan Africa,113,4.834,0.081,4.993,4.675,2.43,0.364,0.472,0.179,0.381,0.182,0.122,3.133,布基纳法索,Africa
Cambodia,Southeast Asia,114,4.83,0.067,4.963,4.698,2.43,0.603,0.68,0.426,0.702,0.21,0.061,2.148,柬埔寨,Asia
Mozambique,Sub-Saharan Africa,115,4.794,0.103,4.997,4.592,2.43,0.183,0.634,0.196,0.608,0.228,0.163,2.783,莫桑比克,Africa
Nigeria,Sub-Saharan Africa,116,4.759,0.052,4.861,4.658,2.43,0.663,0.625,0.051,0.433,0.212,0.039,2.736,尼日利亚,Africa
Mali,Sub-Saharan Africa,117,4.723,0.082,4.884,4.563,2.43,0.387,0.59,0.11,0.384,0.164,0.072,3.016,马里,Africa
Iran,Middle East and North Africa,118,4.721,0.055,4.828,4.614,2.43,1.03,0.557,0.561,0.275,0.33,0.144,1.823,伊朗,Asia
Uganda,Sub-Saharan Africa,119,4.636,0.073,4.78,4.493,2.43,0.364,0.718,0.24,0.398,0.267,0.054,2.596,乌干达,Africa
Liberia,Sub-Saharan Africa,120,4.625,0.106,4.833,4.417,2.43,0.228,0.58,0.253,0.43,0.221,0.057,2.857,利比里亚,Africa
Kenya,Sub-Saharan Africa,121,4.607,0.072,4.747,4.466,2.43,0.603,0.508,0.385,0.483,0.375,0.073,2.18,肯尼亚,Africa
Tunisia,Middle East and North Africa,122,4.596,0.058,4.709,4.484,2.43,0.919,0.515,0.59,0.334,0.057,0.044,2.138,突尼斯,Africa
Lebanon,Middle East and North Africa,123,4.584,0.055,4.691,4.477,2.43,1.045,0.868,0.595,0.175,0.14,0.026,1.736,黎巴嫩,Asia
Namibia,Sub-Saharan Africa,124,4.574,0.064,4.7,4.448,2.43,0.882,0.801,0.262,0.411,0.091,0.059,2.068,纳米比亚,Africa
Palestinian Territories,Middle East and North Africa,125,4.517,0.067,4.649,4.384,2.43,0.646,0.819,0.434,0.33,0.082,0.075,2.131,巴勒斯坦,Asia
Myanmar,Southeast Asia,126,4.426,0.052,4.527,4.324,2.43,0.666,0.713,0.341,0.601,0.52,0.178,1.407,缅甸,Asia
Jordan,Middle East and North Africa,127,4.395,0.062,4.516,4.273,2.43,0.89,0.685,0.583,0.455,0.079,0.15,1.553,约旦,Asia
Chad,Sub-Saharan Africa,128,4.355,0.094,4.54,4.171,2.43,0.255,0.353,0.0,0.24,0.215,0.084,3.209,乍得,Africa
Sri Lanka,South Asia,129,4.325,0.066,4.454,4.196,2.43,0.99,0.82,0.593,0.559,0.239,0.049,1.075,斯里兰卡,Asia
Swaziland,Sub-Saharan Africa,130,4.308,0.071,4.448,4.168,2.43,0.849,0.693,0.074,0.323,0.067,0.147,2.155,斯威士兰,Africa
Comoros,Sub-Saharan Africa,131,4.289,0.084,4.454,4.123,2.43,0.488,0.367,0.279,0.202,0.241,0.101,2.61,科摩罗,Africa
Egypt,Middle East and North Africa,132,4.283,0.045,4.371,4.195,2.43,0.954,0.647,0.426,0.446,0.069,0.092,1.648,埃及,Africa
Ethiopia,Sub-Saharan Africa,133,4.275,0.051,4.374,4.175,2.43,0.37,0.679,0.331,0.451,0.241,0.114,2.089,埃塞俄比亚,Africa
Mauritania,Sub-Saharan Africa,134,4.227,0.07,4.365,4.09,2.43,0.666,0.749,0.273,0.218,0.119,0.133,2.069,毛里塔尼亚,Africa
Madagascar,Sub-Saharan Africa,135,4.208,0.072,4.349,4.068,2.43,0.266,0.503,0.341,0.207,0.185,0.087,2.62,马达加斯加,Africa
Togo,Sub-Saharan Africa,136,4.107,0.077,4.258,3.956,2.43,0.254,0.239,0.203,0.289,0.209,0.107,2.806,多哥,Africa
Zambia,Sub-Saharan Africa,137,4.073,0.069,4.209,3.938,2.43,0.528,0.552,0.231,0.487,0.227,0.074,1.975,赞比亚,Africa
Sierra Leone,Sub-Saharan Africa,138,3.849,0.077,4.001,3.698,2.43,0.279,0.377,0.1,0.408,0.243,0.047,2.396,塞拉利昂,Africa
India,South Asia,139,3.819,0.026,3.869,3.769,2.43,0.741,0.316,0.383,0.622,0.246,0.106,1.405,印度,Asia
Burundi,Sub-Saharan Africa,140,3.775,0.107,3.985,3.565,2.43,0.0,0.062,0.155,0.298,0.172,0.212,2.876,布隆迪,Africa
Yemen,Middle East and North Africa,141,3.658,0.07,3.794,3.521,2.43,0.329,0.831,0.272,0.268,0.092,0.089,1.776,也门,Asia
Tanzania,Sub-Saharan Africa,142,3.623,0.071,3.762,3.485,2.43,0.433,0.54,0.3,0.549,0.307,0.231,1.263,坦桑尼亚,Africa
Haiti,Latin America and Caribbean,143,3.615,0.173,3.953,3.276,2.43,0.294,0.173,0.227,0.257,0.463,0.139,2.06,海地,North America
Malawi,Sub-Saharan Africa,144,3.6,0.092,3.781,3.419,2.43,0.113,0.168,0.298,0.484,0.213,0.134,2.19,马拉维,Africa
Lesotho,Sub-Saharan Africa,145,3.512,0.12,3.748,3.276,2.43,0.451,0.731,0.007,0.405,0.103,0.015,1.8,莱索托,Africa
Botswana,Sub-Saharan Africa,146,3.467,0.074,3.611,3.322,2.43,1.099,0.724,0.34,0.539,0.027,0.088,0.648,博茨瓦纳,Africa
Rwanda,Sub-Saharan Africa,147,3.415,0.068,3.548,3.282,2.43,0.364,0.202,0.407,0.627,0.227,0.493,1.095,卢旺达,Africa
Zimbabwe,Sub-Saharan Africa,148,3.145,0.058,3.259,3.03,2.43,0.457,0.649,0.243,0.359,0.157,0.075,1.205,津巴布韦,Africa
Afghanistan,South Asia,149,2.523,0.038,2.596,2.449,2.43,0.37,0.0,0.126,0.0,0.122,0.01,1.895,阿富汗,Asia
