Country,Happiness Rank,Happiness Score,Standard Error,Upper Confidence Interval,Lower Confidence Interval,Happiness Score in Dystopia,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia + residual,Country_Chinese,continent
Uruguay,28,6.494,0.046,6.583,6.404,1.778,1.617,1.445,0.435,0.683,0.102,0.254,1.958,乌拉圭,South America
Slovakia,29,6.469,0.056,6.578,6.36,1.778,1.731,1.544,0.472,0.494,0.128,0.022,2.078,斯洛伐克,Europe
Saudi Arabia,30,6.463,0.061,6.581,6.344,1.778,1.861,1.37,0.351,0.682,0.093,0.17,1.936,沙特阿拉伯,Asia
Estonia,31,6.455,0.04,6.534,6.377,1.778,1.798,1.526,0.494,0.728,0.153,0.372,1.383,爱沙尼亚,Europe
Spain,32,6.436,0.042,6.519,6.354,1.778,1.798,1.491,0.567,0.533,0.101,0.157,1.789,西班牙,Europe
Italy,33,6.405,0.054,6.511,6.298,1.778,1.832,1.365,0.559,0.438,0.097,0.063,2.052,意大利,Europe
Kosovo,34,6.368,0.06,6.485,6.25,1.778,1.374,1.269,0.372,0.639,0.275,0.045,2.393,科索沃,Europe
Chile,35,6.334,0.046,6.424,6.243,1.778,1.645,1.384,0.511,0.546,0.131,0.076,2.04,智利,South America
Mexico,36,6.33,0.057,6.441,6.218,1.778,1.55,1.169,0.389,0.632,0.086,0.115,2.389,墨西哥,North America
Malta,37,6.3,0.045,6.388,6.212,1.778,1.841,1.468,0.547,0.671,0.2,0.143,1.429,马耳他,Europe
Panama,38,6.265,0.081,6.424,6.105,1.778,1.714,1.402,0.475,0.63,0.065,0.036,1.943,巴拿马,North America
Poland,39,6.26,0.042,6.343,6.177,1.778,1.767,1.474,0.477,0.511,0.12,0.139,1.772,波兰,Europe
Nicaragua,40,6.259,0.076,6.408,6.109,1.778,1.109,1.292,0.385,0.66,0.148,0.218,2.448,尼加拉瓜,North America
Latvia,41,6.213,0.042,6.295,6.131,1.778,1.737,1.505,0.405,0.58,0.107,0.071,1.808,拉脱维亚,Europe
Bahrain,42,6.173,0.1,6.369,5.977,1.778,1.883,1.269,0.389,0.748,0.199,0.138,1.546,巴林,Asia
Guatemala,43,6.15,0.108,6.362,5.939,1.778,1.287,1.188,0.31,0.631,0.106,0.066,2.562,危地马拉,North America
Kazakhstan,44,6.144,0.048,6.239,6.049,1.778,1.664,1.491,0.389,0.628,0.136,0.149,1.688,哈萨克斯坦,Asia
Serbia,44,6.144,0.079,6.299,5.988,1.778,1.552,1.343,0.424,0.617,0.246,0.081,1.881,塞尔维亚,Europe
Cyprus,46,6.13,0.054,6.236,6.024,1.778,1.824,1.224,0.58,0.455,0.104,0.05,1.893,塞浦路斯,Asia
Japan,47,6.129,0.042,6.211,6.047,1.778,1.825,1.396,0.622,0.556,0.009,0.207,1.513,日本,Asia
Croatia,48,6.125,0.057,6.237,6.013,1.778,1.727,1.455,0.475,0.5,0.087,0.003,1.88,克罗地亚,Europe
Brazil,48,6.125,0.065,6.252,5.997,1.778,1.454,1.25,0.387,0.558,0.131,0.137,2.205,巴西,South America
El Salvador,50,6.122,0.069,6.257,5.986,1.778,1.278,1.044,0.383,0.713,0.079,0.222,2.403,萨尔瓦多,North America
Hungary,51,6.041,0.055,6.149,5.933,1.778,1.754,1.519,0.435,0.501,0.105,0.065,1.663,匈牙利,Europe
Argentina,52,6.024,0.063,6.147,5.9,1.778,1.59,1.388,0.427,0.587,0.088,0.082,1.861,阿根廷,South America
Honduras,53,6.023,0.089,6.196,5.849,1.778,1.115,1.072,0.341,0.613,0.189,0.062,2.631,洪都拉斯,North America
Uzbekistan,54,6.014,0.059,6.13,5.899,1.778,1.227,1.347,0.375,0.74,0.26,0.208,1.856,乌兹别克斯坦,Asia
Malaysia,55,6.012,0.079,6.167,5.858,1.778,1.665,1.155,0.385,0.659,0.222,0.122,1.804,马来西亚,Asia
Portugal,56,5.968,0.055,6.076,5.86,1.778,1.758,1.356,0.537,0.693,0.031,0.037,1.556,葡萄牙,Europe
South Korea,57,5.951,0.045,6.04,5.862,1.778,1.853,1.188,0.603,0.446,0.112,0.163,1.587,韩国,Asia
Greece,58,5.931,0.048,6.024,5.838,1.778,1.708,1.247,0.535,0.248,0.008,0.097,2.089,希腊,Europe
Mauritius,59,5.902,0.057,6.013,5.791,1.778,1.589,1.382,0.336,0.574,0.121,0.11,1.79,毛里求斯,Africa
Thailand,60,5.843,0.064,5.969,5.717,1.778,1.515,1.344,0.461,0.624,0.291,0.013,1.594,泰国,Asia
Mongolia,61,5.84,0.046,5.93,5.75,1.778,1.379,1.494,0.244,0.425,0.239,0.058,2.001,蒙古,Asia
Kyrgyzstan,62,5.825,0.045,5.913,5.737,1.778,1.061,1.439,0.417,0.735,0.234,0.018,1.92,吉尔吉斯斯坦,Asia
Moldova,63,5.819,0.052,5.922,5.717,1.778,1.425,1.302,0.375,0.61,0.093,0.02,1.995,摩尔多瓦,Europe
China,64,5.818,0.044,5.905,5.731,1.778,1.51,1.249,0.468,0.666,0.115,0.145,1.666,中国,Asia
Vietnam,65,5.763,0.052,5.865,5.662,1.778,1.349,1.212,0.381,0.741,0.134,0.122,1.824,越南,Asia
Paraguay,66,5.738,0.058,5.851,5.625,1.778,1.428,1.427,0.392,0.678,0.148,0.062,1.604,巴拉圭,South America
Montenegro,67,5.722,0.112,5.941,5.503,1.778,1.537,1.385,0.424,0.563,0.17,0.061,1.581,黑山,Europe
Jamaica,68,5.703,0.089,5.876,5.529,1.778,1.305,1.329,0.411,0.587,0.079,0.039,1.954,牙买加,North America
Bolivia,69,5.684,0.057,5.797,5.572,1.778,1.24,1.187,0.329,0.648,0.103,0.06,2.118,玻利维亚,South America
Russia,70,5.661,0.037,5.734,5.588,1.778,1.68,1.383,0.366,0.449,0.12,0.091,1.572,俄罗斯,Europe
Bosnia and Herzegovina,71,5.633,0.073,5.775,5.49,1.778,1.467,1.361,0.429,0.485,0.247,0.008,1.635,波斯尼亚和黑塞哥维那,Europe
Colombia,72,5.63,0.06,5.747,5.514,1.778,1.455,1.213,0.486,0.562,0.08,0.068,1.765,哥伦比亚,South America
Dominican Republic,73,5.569,0.073,5.712,5.426,1.778,1.536,1.227,0.351,0.623,0.083,0.195,1.553,多米尼加,North America
Ecuador,74,5.559,0.063,5.682,5.436,1.778,1.343,1.173,0.476,0.56,0.079,0.069,1.86,厄瓜多尔,South America
Peru,75,5.526,0.058,5.64,5.412,1.778,1.39,1.153,0.499,0.549,0.073,0.027,1.835,秘鲁,South America
Philippines,76,5.523,0.077,5.675,5.371,1.778,1.238,1.108,0.286,0.714,0.104,0.141,1.931,菲律宾,Asia
Bulgaria,77,5.466,0.059,5.582,5.35,1.778,1.635,1.457,0.408,0.557,0.106,0.013,1.289,保加利亚,Europe
Nepal,78,5.36,0.075,5.507,5.214,1.778,0.979,1.027,0.281,0.567,0.215,0.104,2.187,尼泊尔,Asia
Armenia,79,5.342,0.066,5.47,5.213,1.778,1.466,1.134,0.443,0.551,0.053,0.16,1.534,亚美尼亚,Asia
Tajikistan,80,5.33,0.062,5.452,5.207,1.778,0.972,1.248,0.291,0.599,0.104,0.292,1.823,塔吉克斯坦,Asia
Algeria,81,5.329,0.062,5.451,5.207,1.778,1.353,1.298,0.409,0.252,0.073,0.152,1.791,阿尔及利亚,Africa
Hong Kong China,82,5.308,0.048,5.403,5.214,1.778,1.951,1.201,0.702,0.407,0.123,0.39,0.535,中国香港,Asia
Albania,83,5.277,0.066,5.406,5.148,1.778,1.449,0.951,0.48,0.549,0.133,0.037,1.678,阿尔巴尼亚,Europe
Indonesia,83,5.277,0.059,5.392,5.161,1.778,1.384,1.169,0.314,0.663,0.422,0.038,1.288,印度尼西亚,Asia
South Africa,85,5.275,0.073,5.417,5.132,1.778,1.417,1.428,0.149,0.464,0.09,0.019,1.708,南非,Africa
Congo (Brazzaville),86,5.267,0.088,5.44,5.094,1.778,0.921,0.665,0.145,0.464,0.134,0.136,2.802,刚果(布),Africa
North Macedonia,87,5.254,0.055,5.361,5.146,1.778,1.498,1.171,0.408,0.515,0.207,0.02,1.435,北马其顿,Europe
Venezuela,88,5.211,0.064,5.336,5.085,1.778,0.0,1.257,0.341,0.369,0.205,0.084,2.955,委内瑞拉,South America
Laos,89,5.111,0.081,5.269,4.952,1.778,1.232,0.853,0.257,0.715,0.185,0.162,1.707,老挝,Asia
Georgia,90,5.109,0.056,5.219,5.0,1.778,1.477,0.947,0.366,0.539,0.0,0.201,1.58,格鲁吉亚,Asia
Guinea,91,5.072,0.072,5.213,4.931,1.778,0.844,0.776,0.072,0.369,0.204,0.102,2.705,几内亚,Africa
Ukraine,92,5.071,0.059,5.187,4.956,1.778,1.358,1.354,0.355,0.551,0.265,0.016,1.172,乌克兰,Europe
Ivory Coast,93,5.053,0.074,5.198,4.907,1.778,1.094,0.584,0.12,0.467,0.138,0.131,2.519,科特迪瓦,Africa
Gabon,94,5.035,0.072,5.175,4.894,1.778,1.438,1.021,0.183,0.346,0.036,0.102,1.908,加蓬,Africa
Nigeria,95,4.981,0.08,5.136,4.825,1.778,1.065,1.007,0.092,0.448,0.176,0.013,2.181,尼日利亚,Africa
Cameroon,96,4.973,0.071,5.112,4.834,1.778,0.965,0.871,0.118,0.405,0.144,0.059,2.411,喀麦隆,Africa
Mozambique,97,4.954,0.116,5.181,4.727,1.778,0.57,0.885,0.0,0.625,0.161,0.192,2.519,莫桑比克,Africa
Iraq,98,4.941,0.081,5.099,4.783,1.778,1.281,0.953,0.324,0.351,0.134,0.038,1.861,伊拉克,Asia
State of Palestine,99,4.908,0.092,5.089,4.727,1.778,1.144,1.309,,0.416,0.065,0.067,,巴勒斯坦,Asia
Morocco,100,4.903,0.061,5.023,4.783,1.778,1.236,0.535,0.337,0.54,0.013,0.085,2.158,摩洛哥,Africa
Iran,101,4.876,0.053,4.98,4.772,1.778,1.465,1.102,0.411,0.281,0.229,0.13,1.259,伊朗,Asia
Senegal,102,4.855,0.065,4.983,4.727,1.778,0.943,0.727,0.231,0.519,0.142,0.06,2.234,塞内加尔,Africa
Mauritania,103,4.724,0.147,5.011,4.437,1.778,1.099,0.764,0.244,0.32,0.13,0.195,1.973,毛里塔尼亚,Africa
Burkina Faso,104,4.638,0.093,4.819,4.456,1.778,0.768,0.814,0.107,0.419,0.188,0.113,2.23,布基纳法索,Africa
Namibia,105,4.631,0.069,4.766,4.496,1.778,1.289,1.126,0.145,0.383,0.069,0.071,1.549,纳米比亚,Africa
Turkiye,106,4.614,0.083,4.777,4.45,1.778,1.714,1.148,0.467,0.125,0.095,0.096,0.969,土耳其,Asia
Ghana,107,4.605,0.063,4.729,4.481,1.778,1.101,0.756,0.197,0.526,0.211,0.035,1.779,加纳,Africa
Pakistan,108,4.555,0.077,4.707,4.404,1.778,1.081,0.657,0.158,0.511,0.141,0.102,1.907,巴基斯坦,Asia
Niger,109,4.501,0.108,4.712,4.291,1.778,0.561,0.628,0.137,0.54,0.154,0.14,2.341,尼日尔,Africa
Tunisia,110,4.497,0.053,4.601,4.393,1.778,1.333,0.981,0.422,0.259,0.022,0.016,1.463,突尼斯,Africa
Kenya,111,4.487,0.066,4.616,4.357,1.778,1.051,0.881,0.19,0.418,0.291,0.055,1.601,肯尼亚,Africa
Sri Lanka,112,4.442,0.083,4.603,4.28,1.778,1.422,1.224,0.426,0.539,0.12,0.086,0.625,斯里兰卡,Asia
Uganda,113,4.432,0.089,4.607,4.258,1.778,0.785,1.144,0.201,0.425,0.197,0.051,1.628,乌干达,Africa
Chad,114,4.397,0.121,4.633,4.16,1.778,0.622,0.962,0.043,0.393,0.255,0.088,2.034,乍得,Africa
Cambodia,115,4.393,0.059,4.508,4.279,1.778,1.025,1.024,0.283,0.768,0.176,0.051,1.068,柬埔寨,Asia
Benin,116,4.374,0.066,4.504,4.244,1.778,0.924,0.242,0.124,0.481,0.114,0.253,2.235,贝宁,Africa
Myanmar,117,4.372,0.082,4.533,4.212,1.778,1.032,1.125,0.269,0.46,0.4,0.194,0.893,缅甸,Asia
Bangladesh,118,4.282,0.068,4.416,4.148,1.778,1.133,0.513,0.355,0.617,0.139,0.165,1.361,孟加拉国,Asia
Gambia,119,4.279,0.105,4.484,4.075,1.778,0.761,0.614,0.174,0.286,0.332,0.033,2.081,冈比亚,Africa
Mali,120,4.198,0.062,4.319,4.076,1.778,0.763,0.637,0.106,0.441,0.121,0.059,2.07,马里,Africa
Egypt,121,4.17,0.059,4.287,4.054,1.778,1.377,0.972,0.326,0.467,0.038,0.25,0.74,埃及,Africa
Togo,122,4.137,0.077,4.289,3.986,1.778,0.77,0.642,0.161,0.367,0.149,0.136,1.913,多哥,Africa
Jordan,123,4.12,0.062,4.242,3.997,1.778,1.292,0.98,0.438,0.517,0.056,0.173,0.663,约旦,Asia
Ethiopia,124,4.091,0.093,4.273,3.908,1.778,0.793,1.114,0.25,0.451,0.283,0.101,1.099,埃塞俄比亚,Africa
Liberia,125,4.042,0.144,4.325,3.76,1.778,0.628,0.644,0.141,0.471,0.219,0.071,1.869,利比里亚,Africa
India,126,4.036,0.029,4.092,3.98,1.778,1.159,0.674,0.252,0.685,0.175,0.111,0.979,印度,Asia
Madagascar,127,4.019,0.092,4.199,3.839,1.778,0.632,0.779,0.178,0.187,0.177,0.134,1.932,马达加斯加,Africa
Zambia,128,3.982,0.094,4.167,3.797,1.778,0.914,0.89,0.095,0.545,0.189,0.08,1.27,赞比亚,Africa
Tanzania,129,3.694,0.075,3.84,3.547,1.778,0.836,0.787,0.214,0.607,0.234,0.269,0.747,坦桑尼亚,Africa
Comoros,130,3.545,0.117,3.774,3.317,1.778,0.914,0.327,0.215,0.117,0.129,0.145,1.699,科摩罗,Africa
Malawi,131,3.495,0.09,3.671,3.32,1.778,0.637,0.479,0.189,0.49,0.139,0.129,1.432,马拉维,Africa
Botswana,132,3.435,0.136,3.702,3.168,1.778,1.471,1.041,0.087,0.48,0.021,0.071,0.264,博茨瓦纳,Africa
Congo (Kinshasa),133,3.207,0.095,3.394,3.02,1.778,0.531,0.784,0.105,0.375,0.183,0.068,1.162,刚果(金),Africa
Zimbabwe,134,3.204,0.061,3.323,3.084,1.778,0.758,0.881,0.069,0.363,0.112,0.117,0.905,津巴布韦,Africa
Sierra Leone,135,3.138,0.082,3.299,2.976,1.778,0.67,0.54,0.092,0.371,0.193,0.051,1.221,塞拉利昂,Africa
Lebanon,136,2.392,0.044,2.479,2.305,1.778,1.417,0.476,0.398,0.123,0.061,0.027,-0.11,黎巴嫩,Asia
Afghanistan,137,1.859,0.033,1.923,1.795,1.778,0.645,0.0,0.087,0.0,0.093,0.059,0.976,阿富汗,Asia
